zipcode,school_district_score
98001,8
98002,9
98003,7
98004,12
98005,12
98006,11
98007,12
98008,12
98010,9
98011,12
98012,12
98014,10
98019,9
98021,12
98022,7
98023,7
98024,10
98027,11
98028,12
98029,12
98030,8
98031,8
98032,8
98033,12
98034,12
98036,12
98038,10
98039,12
98040,12
98042,9
98043,11
98045,9
98047,9
98050,12
98051,9
98052,12
98053,10
98055,8
98056,11
98057,8
98058,10
98059,11
98065,11
98068,9
98070,10
98072,10
98074,11
98075,11
98077,9
98092,8
98101,10
98102,10
98103,10
98104,10
98105,10
98106,9
98107,10
98108,9
98109,10
98112,10
98115,10
98116,10
98117,10
98118,10
98119,10
98121,10
98122,10
98125,10
98126,9
98133,11
98134,10
98136,10
98144,10
98146,9
98148,7
98155,12
98158,7
98166,7
98168,8
98177,11
98178,8
98188,7
98195,10
98198,7
98199,10
98224,9
98272,7
98288,7
98290,7
98296,10
98323,7
98354,7
98391,8
