zipcode,median_age
98391,36
98092,35
98047,32
98042,38
98032,33
98010,41
98002,35
98001,
98004,
98005,
98006,
98007,
98008,
98027,
98033,
98039,
98052,
98056,
98059,
98010,
98022,
98038,
98045,
98051,
98092,
98323,
98391,
98001,
98003,
98023,
98032,
98198,
98354,
98032,
98106,
98108,
98126,
98146,
98148,
98158,
98166,
98168,
98188,
98198,
98006,
98008,
98024,
98027,
98029,
98038,
98050,
98056,
98058,
98059,
98065,
98074,
98075,
98001,
98002,
98010,
98030,
98031,
98032,
98038,
98042,
98055,
98058,
98092,
98188,
98198,
98004,
98005,
98007,
98008,
98011,
98033,
98034,
98039,
98052,
98053,
98072,
98074,
98075,
98004,
98006,
98040,
98072,
98077,
98272,
98290,
98296,
98011,
98012,
98021,
98028,
98034,
98036,
98052,
98072,
98077,
98155,
98296,
98006,
98031,
98032,
98055,
98056,
98057,
98058,
98059,
98168,
98178,
98188,
98014,
98019,
98024,
98053,
98065,
98077,
98224,
98199,
98195,
98178,
98177,
98168,
98146,
98144,
98136,
98134,
98133,
98126,
98125,
98122,
98121,
98119,
98118,
98117,
98116,
98115,
98112,
98109,
98108,
98107,
98106,
98105,
98104,
98103,
98102,
98101,
98043,
98133,
98155,
98177,
98045,
98068,
98224,
98288,
98014,
98024,
98027,
98038,
98045,
98053,
98065,
98068,
98074,
98075,
98224,
98010,
98027,
98038,
98042,
98045,
98051,
98058,
98059,
98065,
98188,
98178,
98168,
98070,
